,De Wildt/Mabopane to Belle Ombre/Pretoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saturday                                          ,,,,,Down,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Train No.,,,,,9901,9903,9905,9907,9909,9911,9915,9917,Pg,9601,9501,9401,9503,9925,9919,9453,9603,Pg,9507,9303,9509,9605,9511,9811,9403,9813,Pg,9515,9607,9923,9321,9939,9609,9517,Pg,9405,9615,9325,9525,9407,9617,Pg,9619,9981,9621,9419,9529,9941,Pg,9339,9625,9421,9535,Pg,9347,9627,9537,9465,9543,9835,Pg,9831,9833
,,,,,,B01,M01,M02,B03,M03,B02,M04,M05,,M02,M01,B01,M03,M06,B04,B02,M05,,M04,B03,M02,M06,M01,B06,B01,B09,,M03,M05,M04,B04,B03,M06,M01,,B01,M06,B04,M01,B01,M05,,M06,B03,M05,B01,M01,B03,,B04,M05,B01,M01,,B03,M06,M02,B01,M01,B07,,B05,B08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,EC,EC,EC,EC,EC,EC,EC,EC,,METRO,METRO,METRO,METRO,EC,EC,METRO,METRO,,METRO,METRO,METRO,METRO,METRO,EC,METRO,EC,,METRO,METRO,EC,METRO,EC,METRO,METRO,,METRO,METRO,METRO,METRO,METRO,METRO,,METRO,EC,METRO,METRO,METRO,EC,,METRO,METRO,METRO,METRO,,METRO,METRO,METRO,METRO,METRO,EC,,EC,EC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRETORIA,PRY,,A,,,,,,,,,,,,05:51,05:54,06:18,,,06:50,,,07:00,,07:47,,08:01,08:15,08:18,,,08:32,,09:11,,,,10:11,,10:34,,,12:35,12:50,,,,,,15:06,15:12,,,,,17:20,17:27,,,,18:20,19:35,19:40,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,|PD||START|,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0,41",PRETORIA-B,PRB,,A,,,,,,,,,,,,05:53,05:56,06:20,,,06:52,,,07:02,,07:49,,08:03,,08:20,,,08:34,,,,,,10:13,,10:36,,,12:37,12:52,,,,,,15:08,15:14,,,,,17:22,17:29,,,,18:22,19:37,19:42,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,|PD|,,D,,,,,,,,,,,,05:52,05:56,06:19,,,06:52,,,07:01,,07:48,,08:02,08:16,08:20,,,08:33,,09:12,,,,10:12,,10:36,,,12:36,12:52,,,,,,15:07,15:13,,,,,17:21,17:28,,,,18:21,19:37,19:41,,,,
1,BARRACKS,BAR,,A,,,,,,,,,,,,05:55,05:58,06:22,,,06:54,,,07:04,,07:51,,08:05,,08:22,,,08:36,,,,,,10:15,,10:38,,,12:39,12:54,,,,,,15:10,15:16,,,,,17:24,17:31,,,,18:24,19:39,19:44,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,|PD|,,D,,,,,,,,,,,,05:54,05:58,06:21,,,06:54,,,07:03,,07:50,,08:04,08:17,08:22,,,08:35,,09:13,,,,10:14,,10:38,,,12:38,12:54,,,,,,15:10,15:15,,,,,17:24,17:30,,,,18:23,19:39,19:43,,,,
